_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10297e9804518868d97a0),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-09-04T00:00:00.000Z,4094.95,4038.05,4092,4085.35,4075.95,279418,11374.48,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a1),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-09-11T00:00:00.000Z,4119.05,3933.4,4119,3953.7,3975,349179,13965.69,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a2),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-09-18T00:00:00.000Z,4028,3883.1,3951.9,3924,3928.95,400208,15863.91,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a3),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-09-25T00:00:00.000Z,4013.95,3951,4010,3964.2,3962.8,268107,10655.2,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a4),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-10-02T00:00:00.000Z,3895.4,3838.05,3850,3851.55,3853,241074,9320.07,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a5),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-10-09T00:00:00.000Z,3980,3905.55,3980,3933.9,3935,117828,4632.61,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a6),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-10-16T00:00:00.000Z,4057.95,3970.05,3989,4036.5,4050,214434,8591.09,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a7),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-10-23T00:00:00.000Z,4025.25,3950,4008,3980.9,3987,231846,9233.17,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a8),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-10-30T00:00:00.000Z,3999,3938.2,3996.7,3964.25,3968,10230,406.46,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97a9),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-11-06T00:00:00.000Z,3928.85,3818.25,3925,3854.55,3854.45,227359,8770.17,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97aa),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-11-13T00:00:00.000Z,3801.15,3610.9,3800.3,3634.1,3629,623318,22749,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97ab),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-11-20T00:00:00.000Z,3405.15,3275,3329.6,3392.8,3372.5,683557,22837.97,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97ac),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-11-27T00:00:00.000Z,3509.95,3451.1,3500,3497.45,3494.05,497488,17373.06,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97ad),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-12-04T00:00:00.000Z,3599.25,3528,3550,3585.65,3590,266078,9493.52,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97ae),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-12-11T00:00:00.000Z,3607.95,3554.25,3604.7,3568.95,3578,149963,5359.79,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97af),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-12-18T00:00:00.000Z,3284,3163.35,3284,3177.65,3168,758086,24265.23,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97b0),UltraTech Cement Limited,NSE/ULTRACEMCO,2016-12-25T00:00:00.000Z,3158.9,3068.35,3158.9,3107.1,3107,288590,8942.21,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10297e9804518868d97b1),UltraTech Cement Limited,NSE/ULTRACEMCO,2017-01-01T00:00:00.000Z,3283.65,3216,3230,3250.2,3250,229481,7463.38,CEMENT & CEMENT PRODUCTS,NIFTY COMMODITIES
ObjectId(58d10298e9804518868d97b2),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-01-03T00:00:00.000Z,48.1,47.15,47.5,47.8,47.45,6.243533e+06,2976.84,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b3),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-01-10T00:00:00.000Z,46,43.6,44.5,45.3,45.2,7.136087e+06,3208.68,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b4),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-01-17T00:00:00.000Z,47.15,39.1,46.1,41.15,40.75,2.568855e+07,11419.2,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b5),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-01-24T00:00:00.000Z,42.1,40.1,40.25,41.4,41.5,7.477215e+06,3095.98,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b6),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-01-31T00:00:00.000Z,44.05,41.95,42.65,43.75,43.75,6.232463e+06,2690.71,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b7),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-02-07T00:00:00.000Z,40.55,39.3,39.9,40.15,40.45,3.361472e+06,1340.09,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b8),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-02-14T00:00:00.000Z,37.4,33.1,35.1,35.75,35.45,8.430461e+06,2949.02,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97b9),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-02-21T00:00:00.000Z,37.1,36.1,36.75,36.65,36.6,1.73594e+06,636.69,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97ba),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-02-28T00:00:00.000Z,35.05,33.65,34.9,34.4,34.55,2.350906e+06,809.35,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97bb),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-03-06T00:00:00.000Z,39.5,37.65,38.6,38.75,38.7,6.539576e+06,2531.78,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97bc),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-03-13T00:00:00.000Z,40.25,38.7,39.75,38.85,38.9,3.155386e+06,1243.8,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97bd),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-03-20T00:00:00.000Z,39.8,38.65,39.15,39.5,39.25,8.695326e+06,3424.44,MEDIA & ENTERTAINMENT,NIFTY MEDIA
ObjectId(58d10298e9804518868d97be),TV18 Broadcast Limited,NSE/TV18BRDCST,2016-03-27T00:00:00.000Z,41.6,40.35,40.95,41.15,41,3.158714e+06,1298.02,MEDIA & ENTERTAINMENT,NIFTY MEDIA
