NSE/BIMETAL,Bimetal Bearings Limited,
NSE/NEOCORP,Neo Corp International Limited,
NSE/CAMLIN,Camlin Limited,
NSE/JIKIND,JIK Industries Limited,
NSE/ELFORGE,EL Forge Limited,
NSE/SRHHLINDST,SRHHL Industries Limited,
NSE/PROZONECSC,Prozone Capital Shopping Centres Limited,
NSE/ELNET,Elnet Technologies Limited,
NSE/DHANUS,Dhanus Technologies Limited,
NSE/AXIS_ITT,Axis-IT&T Limited,
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA,
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Limited,
NSE/AIL,Alstom India Limited,
NSE/KOUTONS,Koutons Retail India Limited,
NSE/PRETAILDVR,Pantaloon Retail (India) Limited,
NSE/WYETH,Wyeth Limited,
NSE/TCPLTD,TCP Limited,
NSE/KARURKCP,Karur K.C.P. Packkagings Limited,
NSE/DECOLIGHT,Decolight Ceramics Limited,
NSE/ESSARPORTS,Essar Ports Limited,
NSE/AMARJOTHI,Amarjothi Spinning Mills Limited,
NSE/PANCARBON,Panasonic Carbon India Company Limited,
NSE/HALONIX,Halonix Limited,
NSE/AFTEK,Aftek Limited,
NSE/BRANDHOUSE,Brandhouse Retails Limited,
NSE/SHLAKSHMI,Shri Lakshmi Cotsyn Limited,
NSE/SETFNIFJR,SBIAMC - SETFNIFJR,
NSE/SETFNIFTY,SBIAMC - SETFNIFTY,
NSE/SIMBHSUGAR,Simbhaoli Sugars Limited,
NSE/THEBYKE,The Byke Hospitality Limited,
NSE/NANDANEXIM,Nandan Exim Limited,
NSE/SRICHAMUND,Sri Chamundeswari Sugars Limited,
NSE/FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option,
NSE/TEXMACOLTD,Texmaco Limited,
NSE/IBSEC,Indiabulls Securities Limited,
NSE/IVRCLAH,IVRCL Assets & Holdings Limited,
NSE/FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option),
NSE/ANIKINDS,Anik Industries Limited,
NSE/ASIL,Amit Spinning Industries Limited,
NSE/GANGOTRI,Gangotri Textiles Limited,
NSE/CUBEXTUB,Cubex Tubings Limited,
NSE/GEINDSYS,GEI Industrial Systems Limited,
NSE/XLENERGY,XL Energy Limited,
NSE/NET4,Net 4 India Limited,
NSE/PARASPETRO,Paras Petrofils Limited,
NSE/DPTL,Dhunseri Petrochem & Tea Limited,
NSE/ALPA,Alpa Laboratories Limited,
NSE/BIRLAERIC,Birla Ericsson Optical Limited,
NSE/INDOWIND,Indowind Energy Limited,
NSE/ZENITHBIR,Zenith Birla (India) Limited,
NSE/SPECTACLE,Spectacle Ventures Limited,
NSE/THOMASCOTT,Thomas Scott (India) Limited,
NSE/MLL,Mercator Lines Limited,
NSE/MMWL,Media Matrix Worldwide Limited,
NSE/GULFCORP,Gulf Oil Corporation Limited,
NSE/ALFALAVAL,Alfa Laval (India) Limited,
NSE/APIL,Alstom Projects India Limited,
NSE/MANJEERA,Manjeera Constructions Limited,
NSE/VIPUL,Vipul Limited,
